fips,white,black,hispanic,asian,no_high_sch,high_sch%,some_col%,college%,unemployment,med_hh_income,med_hh_income_pct_state,rural_urban_continuum,urban_influence,metro_code,population,pop_change,nat_incr_rate,intl_migration,poverty_pct,child_poverty,ppl_per_sq_mi,majority
20019,89.7,4.2,2.4,0.1,13.4,34.8,35.9,15.9,3.9,43664,70.39401245,8,7,0,3250,-54,-3.7,0,16.4,153,5.7,R
20021,89.2,4.5,2,0.3,10.1,32.7,37.5,19.6,3.4,47682,76.87173462,6,6,0,19939,-96,-2.6,10,15.4,928,36.8,R
20023,93.3,0.8,5.2,0.7,6.4,30.9,33.8,28.9,2.4,47323,76.29296112,9,12,0,2657,12,-5.7,2,11.6,99,2.7,R
20025,88.8,3,7.4,0.8,5.2,27.2,41.5,26.1,2.3,59085,95.25537109,9,10,0,1994,0,0.5,0,12.4,88,2.3,R
20027,95.9,1.6,1.9,0.3,7.1,35.2,31,26.7,3.2,52781,85.09221649,6,6,0,8002,-1,-1.7,1,10,275,13.2,R
20029,94.8,2,3,0.2,7,31.6,37.4,24,3.2,46299,74.64209747,7,9,0,8786,52,-3,5,13.5,355,13.3,R
20031,95.1,2.1,2,0.4,7.3,32.1,36.1,24.5,4.5,62715,101.1075668,6,6,0,8179,-53,1.5,1,11.2,211,13.7,R
20033,94.3,1.6,3.9,0.3,6.1,34.9,43,16,2.6,47854,77.14903259,9,12,0,1700,-36,2.9,-1,11.6,58,2.4,R
20035,82.2,6.2,9.1,1.6,9.3,29.9,39,21.8,3.4,51537,83.08666992,4,5,0,34908,-241,-0.6,19,13.5,1452,32.3,R
20037,89,4.6,4.5,1.2,7.9,29.3,33,29.9,3.9,42723,68.87696075,4,5,0,38818,-93,2.2,85,18.5,1655,66.4,R
20039,96.9,1.5,1,0.2,6,35.4,36.1,22.5,3,46878,75.57554626,9,12,0,2827,-33,-2.8,4,13.2,124,3.3,R
20041,92.7,3,3.8999999999999995,0.3,8.5,33.2,35.4,22.9,3.6,58066,93.61256409,7,9,0,18466,-216,-0.1,2,9.8,574,23.3,R
20043,91.7,5.3,2.1,0.2,9.7,36.8,32.4,21.1,3.4,52596,84.79396057,3,2,1,7600,-58,-0.3,1,11.4,222,20.2,R
20045,81.70000000000002,7.700000000000001,5.1,3.7,4.6,18.4,27.4,49.6,2.9,62559,100.8560638,3,2,1,122259,1150,3.5,387,15.1,2679,243.1,D
20047,80.5,1.7,17.6,0.39999999999999997,14.6,28.2,39.1,18.1,2.6,49047,79.07235718,9,10,0,2798,-22,1.4,2,11.7,112,4.9,R
20049,93.5,2.3,2.7,0.39999999999999997,11.5,42.6,30.3,15.6,3.7,41930,67.59850311,8,7,0,2530,46,-4,0,19.4,170,4.5,R
20051,91.7,2.4,4.6,1.4,6.7,26.9,30.1,36.3,2.3,51237,82.60301971,5,8,0,28553,-93,1.6,44,13.1,668,31.6,R
20053,88.2,6.3,5,0.4,8.4,34.3,37.8,19.5,2.8,56988,91.87463379,7,9,0,6102,-61,-2.3,2,9.6,128,9.1,R
20055,46.4,5.1,46.7,3.4,29,22.2,31.8,17.1,2.3,57412,92.55819702,5,8,0,36467,-61,11.1,105,13,1837,28.2,R
20057,44,4.8,51.2,1.4,26.4,25.3,30.6,17.7,2.5,54604,88.03121185,5,8,0,33619,-258,10.1,240,13.8,1906,30.8,R
20059,91.9,4,3.6,0.4,7.8,37.6,34.2,20.4,3.3,55984,90.25601196,6,3,0,25544,-81,1.8,9,10.4,786,45.5,R
20061,59.9,25.3,12.4,3.2,6.2,25,45.6,23.2,4.4,58978,95.08286285,4,5,0,31670,-1107,20.6,24,11.7,1767,89.3,R
20063,97.1,0.9,1.6,0.4,7.9,36.3,36.1,19.7,2.1,52986,85.42271423,9,12,0,2636,25,-3,2,9.6,99,2.5,R
20065,90.8,6.7,2.3,0.3,7.4,31.9,36,24.7,3.1,48912,78.85471344,9,12,0,2482,7,-7.7,3,11.8,80,2.9,R
20067,54.2,2.9,43.9,0.3,23,25.9,36.2,14.9,2.9,65178,105.0783539,7,9,0,7150,-144,10.2,-9,10.5,333,13.6,R
20069,84.1,1.6999999999999997,14.2,0.2,22.6,22.5,34.6,20.2,2,69077,111.3642197,9,10,0,5988,-88,8.8,16,7.6,163,6.9,R
20071,84.7,1.8999999999999997,13.699999999999998,0.3,13,26.9,33,27.2,2.3,58492,94.29934692,9,12,0,1232,3,10.6,2,10.9,54,1.6,R
20073,93.5,2.5,3.2999999999999994,0.3,7.6,36.3,36.2,19.9,3.2,44876,72.34796906,6,6,0,5982,-29,-2.5,0,14.9,273,5.9,R
20075,67,1.7,30.7,0.3,19.2,39.9,22.2,18.7,1.9,55857,90.05126953,9,10,0,2539,-61,4.7,15,13.1,136,2.7,R
20077,92.5,1.8,4.9,0.09999999999999999,10.4,39.1,34.3,16.2,2.5,47540,76.64280701,8,7,0,5436,-72,-6.2,2,14.2,258,7.5,R
20079,84.6,4,10.8,0.7,9.5,23.7,33.5,33.2,2.9,62961,101.504158,2,2,1,34429,246,1.2,37,9.3,906,64.3,R
20081,71.3,2.3,27,0.2,27.6,19.3,36,17.1,2.3,62477,100.7238693,9,10,0,3968,-22,7,3,9.7,159,7.4,R
20083,91.2,2.7,6.2,0.4,8.9,20.8,39.5,30.8,2.4,58360,94.08654022,9,10,0,1794,-28,-4.4,6,10.4,47,2.2,R
20085,85.9,3.7,3.3,0.4,5.4,39,35.3,20.2,2.9,60615,97.72200012,3,2,1,13171,-99,3.2,-3,10.9,500,20.5,R
20087,95,2.3,1.8,0.2,6.5,39.7,30.6,23.2,3.1,68549,110.5129929,3,2,1,19043,187,1.2,-2,7.8,443,35.9,R
20089,96.2,1.3999999999999997,2,0.20000000000000004,6.9,39.5,34.3,19.3,2.8,46017,74.18746185,9,12,0,2879,34,-1,0,13,118,3.4,R
20091,82,6.8,7.2,4.2,4,14.5,25.5,56,2.8,91913,148.1798553,1,1,1,602401,4274,5.1,937,5.3,7890,1149.6,D
20093,68.5,2.7,28.5,0.3,24.1,32.4,28.8,14.7,2.3,67301,108.5009995,9,8,0,3838,-103,9.3,5,10.4,140,4.6,R
20095,95.3,1.4,2.5,0.5,6.4,33,36.2,24.4,3.2,56907,91.74404907,2,2,1,7152,-68,-2.5,-1,11.3,263,9.1,R
20097,93.1,1.6999999999999997,3.8999999999999995,0.6,11.8,27.1,33,28.1,2.3,49588,79.94454193,9,10,0,2475,-14,2.4,1,12.1,97,3.5,R
20099,85.5,8.7,4,0.4000000000000001,10.2,31.8,39.3,18.7,4,44170,71.20977783,7,8,0,19618,-288,1.3,-3,15.8,978,33.5,R
20101,93,2.1,4.2,0.2,5.7,31.9,39.4,23.1,2.6,60315,97.23834229,9,12,0,1535,-11,-2.6,0,10.3,55,2.4,R
20103,80.3,12.7,5.7,1.3,7.8,28.3,32.4,31.5,3.4,75840,122.2673645,1,1,1,81758,261,3.7,17,8.3,1688,164.7,R
20105,96.1,1.1,2.2,0.2,6.7,31.1,39.4,22.8,2.3,47557,76.67021179,9,10,0,2962,-36,-5,0,12.1,104,4.5,R
20107,95.1,2,1.8999999999999997,0.3,10.3,38.9,34.7,16.2,5.9,62876,101.3671265,1,1,1,9703,-68,-3.2,0,12,357,16.3,R
20109,94.7,2,2.9,0.4,9,28.1,46.3,16.6,2,53538,86.3126297,9,12,0,2794,-18,7.8,0,10,97,2.6,R
20111,73.3,5.1,20.1,2.3,11.7,29.3,31.5,27.5,3.4,49840,80.35080719,4,5,0,33195,-105,3.4,47,15.1,1157,39.8,R
20113,93.1,2.7,3.5,0.5,8.7,27.9,35.4,28,2.2,65834,106.1359406,7,8,0,28542,14,-1.1,0,7.2,566,32.5,R
